"cod_municipio","volume_agua_produzido","agua_consumida","populacao_total","Estado.x","agua_consumida_por_habitante"
220005,501,78.59,6933,"PI",0.113356411365931
220025,900,0,7501,"PI",0
220027,0,0,4832,"PI",0
220045,0,19,5278,"PI",0.0359984842743463
220070,346.51,196.67,9597,"PI",0.204928623528186
220090,282.41,149.99,5763,"PI",0.260263751518306
220095,NA,NA,2460,"PI",NA
220105,0,0,7686,"PI",0
220110,770,578.37,11433,"PI",0.505877722382577
220155,NA,NA,3919,"PI",NA
220157,111.58,64.91,3464,"PI",0.187384526558891
220170,361.5,201.01,5402,"PI",0.372102924842651
220173,NA,NA,6097,"PI",NA
220180,169.43,90.94,4436,"PI",0.205004508566276
220190,1993.79,1088.37,24327,"PI",0.447391786903441
220192,89.43,46.94,5549,"PI",0.0845918183456479
220198,671,0,3871,"PI",0
220202,0,0,8188,"PI",0
220207,NA,NA,3471,"PI",NA
220209,NA,NA,5674,"PI",NA
220210,165.12,85.33,5507,"PI",0.154948247684765
220211,NA,NA,4911,"PI",NA
220213,820,20.26,5801,"PI",0.0349250129288054
220225,137.1,85.47,3904,"PI",0.218929303278689
220230,4484,0,20700,"PI",0
220245,0,0,4008,"PI",0
220250,193.18,99.16,10641,"PI",0.0931867305704351
220255,105.55,60.52,4994,"PI",0.121185422507008
220260,3980,0,18160,"PI",0
220275,171.71,90.45,6314,"PI",0.14325308837504
220277,235.89,125.52,7527,"PI",0.166759665205261
220280,872,0,4536,"PI",0
220285,163.01,84.98,4602,"PI",0.184658843980878
220310,523.94,285.86,10214,"PI",0.279870765615821
220320,696,347.33,11121,"PI",0.312319036057908
220323,NA,NA,4845,"PI",NA
220327,81.02,43.88,5086,"PI",0.0862760519071962
220335,143.4,74.21,6862,"PI",0.108146313028272
220340,1378,0,6756,"PI",0
220342,92.3,47.5,4290,"PI",0.110722610722611
220345,NA,NA,9387,"PI",NA
220360,371.73,191.64,4807,"PI",0.398668608279592
220375,NA,NA,5199,"PI",NA
220380,153.08,100.9,4394,"PI",0.229631315430132
220385,NA,NA,2515,"PI",NA
220415,NA,NA,3097,"PI",NA
220420,1207,0,9054,"PI",0
220430,2378,514.78,11372,"PI",0.452673232500879
220435,NA,NA,5319,"PI",NA
220455,136.2,70.95,4478,"PI",0.158441268423403
220470,3020,39.45,15044,"PI",0.0262230789683595
220480,1524,0,9599,"PI",0
220490,206.19,106.09,8408,"PI",0.126177450047574
220500,285.66,149.66,11354,"PI",0.131812577065351
220510,2354,0,10828,"PI",0
220515,166.92,88.28,5682,"PI",0.155367828229497
220520,366.42,198.81,18660,"PI",0.106543408360129
220535,0,0,2965,"PI",0
220551,549,0,5380,"PI",0
220552,129.98,79.12,5510,"PI",0.143593466424682
220553,155.01,78.94,4657,"PI",0.169508267124758
220556,NA,NA,4579,"PI",NA
220557,NA,NA,6611,"PI",NA
220559,NA,NA,5047,"PI",NA
220590,286.77,146.93,5263,"PI",0.279175375261258
220595,NA,NA,8249,"PI",NA
220605,NA,NA,6323,"PI",NA
220635,0,0,6517,"PI",0
220650,1330,0,7586,"PI",0
220665,NA,NA,4073,"PI",NA
220670,177.11,142.34,7261,"PI",0.196033604186751
220690,270.17,168.7,6483,"PI",0.260219034397655
220700,7095,1777.13,36329,"PI",0.489176690797985
220720,283.78,141.52,6748,"PI",0.209721398933017
220730,584,0,4071,"PI",0
220735,100,40,3308,"PI",0.120918984280532
220740,98.5,53.7,4980,"PI",0.107831325301205
220755,53.7,32.12,3900,"PI",0.0823589743589744
220777,150.18,77.07,6257,"PI",0.123174045069522
220780,944.63,494.26,20168,"PI",0.245071400238001
220785,169.04,86.32,3637,"PI",0.23733846576849
220790,1633.91,863.92,38055,"PI",0.227018788595454
220793,NA,NA,2481,"PI",NA
220795,66.67,37.19,4286,"PI",0.0867708819412039
220800,4891.17,3079.92,76544,"PI",0.402372491638796
220810,1745,0,11913,"PI",0
220820,2076,435.63,18061,"PI",0.241199269143458
220830,7524,1124.89,28160,"PI",0.399463778409091
220865,NA,NA,8796,"PI",NA
220870,NA,NA,8600,"PI",NA
220887,NA,NA,4381,"PI",NA
220900,255.35,198.53,6329,"PI",0.313683046294833
220910,344.6,177.45,6127,"PI",0.289619716011098
220915,1311,0,3926,"PI",0
220930,220.66,122.17,5719,"PI",0.213621262458472
220935,160.02,87.13,4544,"PI",0.19174735915493
220937,1437,0,5178,"PI",0
220940,317.68,160.94,6244,"PI",0.257751441383728
220950,181.37,117.6,3720,"PI",0.316129032258064
220955,19.82,9.69,4371,"PI",0.022168840082361
220965,653,0,5786,"PI",0
220970,100.73,80.96,6329,"PI",0.127919102543846
220985,709,0,4523,"PI",0
220987,NA,NA,5898,"PI",NA
220990,305.65,157.88,6081,"PI",0.25962835060023
220995,0,0,4747,"PI",0
221000,5183,1247.26,20146,"PI",0.619110493398193
221005,187.66,95.46,5246,"PI",0.181967213114754
221010,165.35,110.23,3697,"PI",0.298160670814174
221020,179.03,94.11,6610,"PI",0.142375189107413
221030,1907,274.52,6244,"PI",0.439654067905189
221035,106.17,57.5,4493,"PI",0.127976852882261
221037,68.01,38.72,2595,"PI",0.149210019267823
221039,NA,NA,2993,"PI",NA
221040,334.01,258.5,18105,"PI",0.142778238055786
221060,8081,1945.2,33802,"PI",0.575468907165256
221063,502,0,4209,"PI",0
221070,489.77,243.65,14411,"PI",0.169072236486018
221080,595.12,332.38,12424,"PI",0.267530585962653
221090,118.38,72.13,4512,"PI",0.159862588652482
221093,NA,NA,6545,"PI",NA
221095,NA,NA,2851,"PI",NA
221097,NA,NA,2703,"PI",NA
221130,1102.95,730.52,20568,"PI",0.355173084402956
221135,439,81.3,4889,"PI",0.1662916751892
221150,NA,NA,3025,"PI",NA
221160,NA,NA,2965,"PI",NA
221170,564,0,4375,"PI",0
230010,173.35,126.1,11357,"CE",0.111032843180417
230015,874.06,377.83,16288,"CE",0.231968320235756
230030,8480,1316.12,53135,"CE",0.247693610614473
230040,NA,NA,16997,"CE",NA
230050,1193,99.68,11321,"CE",0.0880487589435562
230060,216.5,160.34,7344,"CE",0.21832788671024
230070,194.37,167.62,16876,"CE",0.0993244844749941
230080,358.46,210.56,7227,"CE",0.291351874913519
230090,2292,259.5,14565,"CE",0.17816683831102
230110,15184,3250.88,72727,"CE",0.446997676241286
230120,1635.07,737.43,26134,"CE",0.282172648656922
230125,1606,0,10775,"CE",0
230130,3690,405.08,21289,"CE",0.190276668702147
230140,1272,0,11358,"CE",0
230150,167.89,105.18,7771,"CE",0.1353493758847
230160,733.21,384.21,23126,"CE",0.166137680532734
230170,4735,825.23,24602,"CE",0.335432078692789
230180,146.4,109.82,6198,"CE",0.177186189093256
230185,438.56,354.5,17906,"CE",0.197978331285603
230190,2890.91,1448.9,58855,"CE",0.246181293008241
230195,5043,483.52,20687,"CE",0.23373132885387
230200,703.03,453.13,22279,"CE",0.203388841509942
230210,8533,1413.73,34949,"CE",0.404512289335889
230240,9222,236,53838,"CE",0.0438352093316988
